Year,Season,City,Games
1992,Summer,Barcelona,1992 Summer
2012,Summer,London,2012 Summer
1920,Summer,Antwerpen,1920 Summer
1900,Summer,Paris,1900 Summer
1932,Summer,Los Angeles,1932 Summer
1952,Summer,Helsinki,1952 Summer
2000,Summer,Sydney,2000 Summer
1996,Summer,Atlanta,1996 Summer
1912,Summer,Stockholm,1912 Summer
1924,Summer,Paris,1924 Summer
1948,Summer,London,1948 Summer
2008,Summer,Beijing,2008 Summer
2016,Summer,Rio de Janeiro,2016 Summer
2004,Summer,Athina,2004 Summer
1984,Summer,Los Angeles,1984 Summer
1968,Summer,Mexico City,1968 Summer
1972,Summer,Munich,1972 Summer
1988,Summer,Seoul,1988 Summer
1936,Summer,Berlin,1936 Summer
1956,Summer,Melbourne,1956 Summer
1960,Summer,Roma,1960 Summer
1928,Summer,Amsterdam,1928 Summer
1976,Summer,Montreal,1976 Summer
1980,Summer,Moskva,1980 Summer
1964,Summer,Tokyo,1964 Summer
1906,Summer,Athina,1906 Summer
1904,Summer,St. Louis,1904 Summer
1908,Summer,London,1908 Summer
1896,Summer,Athina,1896 Summer
1956,Summer,Stockholm,1956 Summer
2020,Summer,Tokyo,2020 Summer
2024,Summer,Paris,2024 Summer
