event_name,Year,Season,City,Games
Basketball Men's Basketball,1992,Summer,Barcelona,1992 Summer
Judo Men's Extra-Lightweight,2012,Summer,London,2012 Summer
Football Men's Football,1920,Summer,Antwerpen,1920 Summer
Tug-Of-War Men's Tug-Of-War,1900,Summer,Paris,1900 Summer
Athletics Women's 100 metres,1932,Summer,Los Angeles,1932 Summer
Athletics Women's 4 x 100 metres Relay,1932,Summer,Los Angeles,1932 Summer
Swimming Men's 400 metres Freestyle,1952,Summer,Helsinki,1952 Summer
Badminton Men's Singles,2000,Summer,Sydney,2000 Summer
Sailing Women's Windsurfer,1996,Summer,Atlanta,1996 Summer
Sailing Women's Windsurfer,2000,Summer,Sydney,2000 Summer
Swimming Men's 200 metres Breaststroke,1912,Summer,Stockholm,1912 Summer
Swimming Men's 400 metres Breaststroke,1912,Summer,Stockholm,1912 Summer
Swimming Men's 200 metres Breaststroke,1920,Summer,Antwerpen,1920 Summer
Swimming Men's 400 metres Breaststroke,1920,Summer,Antwerpen,1920 Summer
Swimming Men's 200 metres Breaststroke,1924,Summer,Paris,1924 Summer
Gymnastics Men's Individual All-Around,1948,Summer,London,1948 Summer
Gymnastics Men's Team All-Around,1948,Summer,London,1948 Summer
Gymnastics Men's Floor Exercise,1948,Summer,London,1948 Summer
Gymnastics Men's Horse Vault,1948,Summer,London,1948 Summer
Gymnastics Men's Parallel Bars,1948,Summer,London,1948 Summer
Gymnastics Men's Horizontal Bar,1948,Summer,London,1948 Summer
Gymnastics Men's Rings,1948,Summer,London,1948 Summer
Gymnastics Men's Pommelled Horse,1948,Summer,London,1948 Summer
Gymnastics Men's Individual All-Around,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Team All-Around,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Floor Exercise,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Horse Vault,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Parallel Bars,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Horizontal Bar,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Rings,1952,Summer,Helsinki,1952 Summer
Gymnastics Men's Pommelled Horse,1952,Summer,Helsinki,1952 Summer
Athletics Men's Shot Put,2000,Summer,Sydney,2000 Summer
"Art Competitions Mixed Sculpturing, Unknown Event",1948,Summer,London,1948 Summer
Handball Women's Handball,2008,Summer,Beijing,2008 Summer
Weightlifting Women's Super-Heavyweight,2016,Summer,Rio de Janeiro,2016 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",2000,Summer,Sydney,2000 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",2004,Summer,Athina,2004 Summer
"Gymnastics Men's Team All-Around, Free System",1920,Summer,Antwerpen,1920 Summer
Water Polo Men's Water Polo,1984,Summer,Los Angeles,1984 Summer
Sailing Mixed Three Person Keelboat,1968,Summer,Mexico City,1968 Summer
Sailing Mixed Three Person Keelboat,1972,Summer,Munich,1972 Summer
Hockey Women's Hockey,1988,Summer,Seoul,1988 Summer
Rowing Men's Lightweight Double Sculls,1996,Summer,Atlanta,1996 Summer
Rowing Men's Lightweight Double Sculls,2000,Summer,Sydney,2000 Summer
Athletics Men's Pole Vault,1936,Summer,Berlin,1936 Summer
Athletics Men's High Jump,1912,Summer,Stockholm,1912 Summer
Sailing Men's Two Person Dinghy,1992,Summer,Barcelona,1992 Summer
Sailing Men's Two Person Dinghy,1996,Summer,Atlanta,1996 Summer
"Athletics Men's 1,500 metres",2012,Summer,London,2012 Summer
Swimming Men's 100 metres Butterfly,1996,Summer,Atlanta,1996 Summer
Swimming Men's 200 metres Butterfly,1996,Summer,Atlanta,1996 Summer
Swimming Men's 4 x 100 metres Medley Relay,1996,Summer,Atlanta,1996 Summer
Swimming Men's 100 metres Butterfly,2000,Summer,Sydney,2000 Summer
Swimming Men's 200 metres Butterfly,2000,Summer,Sydney,2000 Summer
Football Women's Football,1996,Summer,Atlanta,1996 Summer
"Fencing Men's Foil, Individual",1912,Summer,Stockholm,1912 Summer
"Fencing Men's epee, Individual",1912,Summer,Stockholm,1912 Summer
"Fencing Men's epee, Team",1912,Summer,Stockholm,1912 Summer
Sailing Mixed 8 metres,1912,Summer,Stockholm,1912 Summer
"Equestrianism Mixed Jumping, Individual",1992,Summer,Barcelona,1992 Summer
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1936,Summer,Berlin,1936 Summer
"Shooting Men's Rapid-Fire Pistol, 25 metres",1936,Summer,Berlin,1936 Summer
"Shooting Men's Rapid-Fire Pistol, 25 metres",1948,Summer,London,1948 Summer
Shooting Men's Trap,1952,Summer,Helsinki,1952 Summer
Shooting Men's Trap,1956,Summer,Melbourne,1956 Summer
Shooting Men's Trap,1960,Summer,Roma,1960 Summer
Athletics Men's 4 x 100 metres Relay,1920,Summer,Antwerpen,1920 Summer
Athletics Men's Long Jump,1920,Summer,Antwerpen,1920 Summer
Athletics Men's Long Jump,1924,Summer,Paris,1924 Summer
Athletics Men's Long Jump,1928,Summer,Amsterdam,1928 Summer
Boxing Men's Light-Welterweight,2012,Summer,London,2012 Summer
Athletics Women's Javelin Throw,2004,Summer,Athina,2004 Summer
Athletics Women's Javelin Throw,2008,Summer,Beijing,2008 Summer
"Wrestling Men's Heavyweight, Freestyle",1992,Summer,Barcelona,1992 Summer
"Wrestling Men's Heavyweight, Freestyle",1996,Summer,Atlanta,1996 Summer
Gymnastics Men's Individual All-Around,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Men's Floor Exercise,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Men's Parallel Bars,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Men's Horizontal Bar,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Men's Rings,2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Men's Pommelled Horse,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's Pole Vault,1976,Summer,Montreal,1976 Summer
Taekwondo Men's Flyweight,2000,Summer,Sydney,2000 Summer
Boxing Men's Heavyweight,1948,Summer,London,1948 Summer
"Athletics Men's 5,000 metres",2016,Summer,Rio de Janeiro,2016 Summer
"Cycling Men's Road Race, Individual",1956,Summer,Melbourne,1956 Summer
"Cycling Men's Road Race, Team",1956,Summer,Melbourne,1956 Summer
Boxing Men's Light-Welterweight,1988,Summer,Seoul,1988 Summer
"Cycling Men's Road Race, Individual",1924,Summer,Paris,1924 Summer
"Cycling Men's Road Race, Team",1924,Summer,Paris,1924 Summer
Weightlifting Men's Lightweight,1956,Summer,Melbourne,1956 Summer
Weightlifting Men's Middleweight,1960,Summer,Roma,1960 Summer
Football Men's Football,1960,Summer,Roma,1960 Summer
Rowing Men's Coxless Pairs,2016,Summer,Rio de Janeiro,2016 Summer
"Fencing Men's epee, Individual",2008,Summer,Beijing,2008 Summer
Judo Men's Half-Middleweight,1992,Summer,Barcelona,1992 Summer
Taekwondo Women's Flyweight,2016,Summer,Rio de Janeiro,2016 Summer
Boxing Men's Flyweight,1972,Summer,Munich,1972 Summer
Athletics Women's Javelin Throw,2012,Summer,London,2012 Summer
Swimming Men's 4 x 100 metres Medley Relay,2000,Summer,Sydney,2000 Summer
Basketball Women's Basketball,2008,Summer,Beijing,2008 Summer
Diving Men's Platform,2000,Summer,Sydney,2000 Summer
"Canoeing Men's Canadian Doubles, 500 metres",1992,Summer,Barcelona,1992 Summer
"Canoeing Men's Canadian Doubles, 1,000 metres",1992,Summer,Barcelona,1992 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",2004,Summer,Athina,2004 Summer
"Canoeing Men's Kayak Fours, 1,000 metres",2008,Summer,Beijing,2008 Summer
Handball Men's Handball,2008,Summer,Beijing,2008 Summer
Handball Men's Handball,2012,Summer,London,2012 Summer
Handball Men's Handball,2016,Summer,Rio de Janeiro,2016 Summer
Rowing Women's Coxless Pairs,2012,Summer,London,2012 Summer
"Fencing Men's epee, Individual",2004,Summer,Athina,2004 Summer
Football Men's Football,2000,Summer,Sydney,2000 Summer
Boxing Men's Middleweight,1968,Summer,Mexico City,1968 Summer
Judo Men's Lightweight,1996,Summer,Atlanta,1996 Summer
Boxing Men's Featherweight,1924,Summer,Paris,1924 Summer
Water Polo Men's Water Polo,1996,Summer,Atlanta,1996 Summer
Football Men's Football,2004,Summer,Athina,2004 Summer
Tennis Men's Doubles,2000,Summer,Sydney,2000 Summer
Shooting Mixed Skeet,1992,Summer,Barcelona,1992 Summer
"Wrestling Men's Featherweight, Freestyle",2004,Summer,Athina,2004 Summer
Sailing Mixed Two Person Heavyweight Dinghy,1976,Summer,Montreal,1976 Summer
Sailing Mixed Two Person Heavyweight Dinghy,1980,Summer,Moskva,1980 Summer
Sailing Mixed Two Person Heavyweight Dinghy,1984,Summer,Los Angeles,1984 Summer
"Athletics Men's 1,500 metres",1980,Summer,Moskva,1980 Summer
"Athletics Men's 1,500 metres",1984,Summer,Los Angeles,1984 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",1964,Summer,Tokyo,1964 Summer
Athletics Women's Shot Put,1980,Summer,Moskva,1980 Summer
Rowing Men's Coxed Eights,1984,Summer,Los Angeles,1984 Summer
Cycling Women's Sprint,2004,Summer,Athina,2004 Summer
Cycling Women's 500 metres Time Trial,2004,Summer,Athina,2004 Summer
Athletics Men's 110 metres Hurdles,2012,Summer,London,2012 Summer
Football Men's Football,2008,Summer,Beijing,2008 Summer
Handball Men's Handball,2004,Summer,Athina,2004 Summer
Shooting Mixed Trap,1984,Summer,Los Angeles,1984 Summer
Athletics Women's Marathon,2004,Summer,Athina,2004 Summer
Athletics Men's 100 metres,2004,Summer,Athina,2004 Summer
Athletics Men's High Jump,1976,Summer,Montreal,1976 Summer
"Fencing Men's Foil, Individual",1968,Summer,Mexico City,1968 Summer
"Fencing Men's Foil, Team",1968,Summer,Mexico City,1968 Summer
"Fencing Men's Sabre, Team",1968,Summer,Mexico City,1968 Summer
"Fencing Men's Sabre, Team",1992,Summer,Barcelona,1992 Summer
Swimming Men's 100 metres Freestyle,1936,Summer,Berlin,1936 Summer
Swimming Men's 4 x 200 metres Freestyle Relay,1936,Summer,Berlin,1936 Summer
Boxing Men's Lightweight,1972,Summer,Munich,1972 Summer
Football Men's Football,1928,Summer,Amsterdam,1928 Summer
Modern Pentathlon Men's Individual,1936,Summer,Berlin,1936 Summer
Athletics Men's 100 metres,1972,Summer,Munich,1972 Summer
Boxing Men's Welterweight,2012,Summer,London,2012 Summer
Boxing Men's Middleweight,2016,Summer,Rio de Janeiro,2016 Summer
Rowing Men's Quadruple Sculls,1988,Summer,Seoul,1988 Summer
Rowing Men's Double Sculls,1996,Summer,Atlanta,1996 Summer
Rowing Men's Quadruple Sculls,2000,Summer,Sydney,2000 Summer
